timestamp,container,service,cpu_percent,memory_mb
1789455845.093,research-api-prometheus-1,prometheus,0.0,28.43
1789455845.093,research-api-cadvisor-1,cadvisor,0.0,16.07
1789455850.08,research-api-nginx-1,nginx,22.28,16.35
1789455850.08,research-api-orders-service-1,orders-service,37.65,14.18
1789455850.08,research-api-products-service-1,products-service,17.59,11.65
1789455850.08,research-api-inventory-service-1,inventory-service,4.38,8.977
1789455850.08,research-api-users-service-1,users-service,13.79,11.84
1789455850.08,research-api-grafana-1,grafana,0.16,51.0
1789455850.08,research-api-postgres-1,postgres,21.25,78.56
1789455850.08,research-api-prometheus-1,prometheus,0.73,28.74
1789455850.08,research-api-cadvisor-1,cadvisor,0.0,16.07
1789455855.123,research-api-nginx-1,nginx,23.88,16.54
1789455855.123,research-api-orders-service-1,orders-service,29.36,14.16
1789455855.123,research-api-products-service-1,products-service,20.3,13.03
1789455855.123,research-api-inventory-service-1,inventory-service,5.24,9.164
1789455855.123,research-api-users-service-1,users-service,17.6,10.81
1789455855.123,research-api-grafana-1,grafana,0.07,51.06
1789455855.123,research-api-postgres-1,postgres,20.17,78.41
1789455855.123,research-api-prometheus-1,prometheus,0.0,28.76
1789455855.123,research-api-cadvisor-1,cadvisor,0.0,16.77
1789455860.108,research-api-nginx-1,nginx,28.76,15.92
1789455860.108,research-api-orders-service-1,orders-service,39.05,15.42
1789455860.108,research-api-products-service-1,products-service,23.23,11.74
1789455860.108,research-api-inventory-service-1,inventory-service,6.64,9.363
1789455860.108,research-api-users-service-1,users-service,23.49,11.71
1789455860.108,research-api-grafana-1,grafana,0.29,51.31
1789455860.108,research-api-postgres-1,postgres,23.52,79.11
1789455860.108,research-api-prometheus-1,prometheus,1.55,29.17
1789455860.108,research-api-cadvisor-1,cadvisor,0.0,16.76
1789455865.093,research-api-nginx-1,nginx,19.76,16.64
1789455865.093,research-api-orders-service-1,orders-service,25.77,14.15
1789455865.093,research-api-products-service-1,products-service,15.51,13.09
1789455865.093,research-api-inventory-service-1,inventory-service,5.11,9.164
1789455865.093,research-api-users-service-1,users-service,14.56,11.22
1789455865.093,research-api-grafana-1,grafana,0.06,51.17
1789455865.093,research-api-postgres-1,postgres,18.79,78.24
1789455865.093,research-api-prometheus-1,prometheus,0.0,29.25
1789455865.093,research-api-cadvisor-1,cadvisor,0.0,16.8
1789455870.085,research-api-nginx-1,nginx,19.86,16.0
1789455870.085,research-api-orders-service-1,orders-service,29.72,14.89
1789455870.085,research-api-products-service-1,products-service,16.24,12.17
1789455870.085,research-api-inventory-service-1,inventory-service,4.23,9.73
1789455870.085,research-api-users-service-1,users-service,16.05,10.76
1789455870.085,research-api-grafana-1,grafana,0.17,51.17
1789455870.085,research-api-postgres-1,postgres,18.99,79.02
1789455870.085,research-api-prometheus-1,prometheus,0.87,29.72
1789455870.085,research-api-cadvisor-1,cadvisor,0.0,16.8
1789455875.087,research-api-nginx-1,nginx,30.19,16.43
1789455875.087,research-api-orders-service-1,orders-service,26.29,14.59
1789455875.087,research-api-products-service-1,products-service,22.93,12.66
1789455875.087,research-api-inventory-service-1,inventory-service,5.14,10.04
1789455875.087,research-api-users-service-1,users-service,22.66,12.92
1789455875.087,research-api-grafana-1,grafana,0.09,52.1
1789455875.087,research-api-postgres-1,postgres,25.53,79.4
1789455875.087,research-api-prometheus-1,prometheus,0.0,29.75
1789455875.087,research-api-cadvisor-1,cadvisor,0.0,18.08
1789455880.135,research-api-nginx-1,nginx,22.68,16.19
1789455880.135,research-api-orders-service-1,orders-service,36.33,14.59
1789455880.135,research-api-products-service-1,products-service,18.94,12.29
1789455880.135,research-api-inventory-service-1,inventory-service,5.07,9.414
1789455880.135,research-api-users-service-1,users-service,17.06,11.64
1789455880.135,research-api-grafana-1,grafana,0.16,52.1
1789455880.135,research-api-postgres-1,postgres,22.71,78.79
1789455880.135,research-api-prometheus-1,prometheus,0.0,29.76
1789455880.135,research-api-cadvisor-1,cadvisor,0.0,18.08
1789455885.125,research-api-nginx-1,nginx,22.28,15.82
1789455885.125,research-api-orders-service-1,orders-service,33.82,14.78
1789455885.125,research-api-products-service-1,products-service,21.82,12.12
1789455885.125,research-api-inventory-service-1,inventory-service,5.56,9.434
1789455885.125,research-api-users-service-1,users-service,18.27,12.69
1789455885.125,research-api-grafana-1,grafana,0.03,52.1
1789455885.125,research-api-postgres-1,postgres,21.8,79.88
1789455885.125,research-api-prometheus-1,prometheus,0.0,31.27
1789455885.125,research-api-cadvisor-1,cadvisor,0.35,18.8
1789455890.113,research-api-nginx-1,nginx,21.43,16.12
1789455890.113,research-api-orders-service-1,orders-service,32.24,14.62
1789455890.113,research-api-products-service-1,products-service,16.11,12.39
1789455890.113,research-api-inventory-service-1,inventory-service,4.44,8.914
1789455890.113,research-api-users-service-1,users-service,17.85,11.35
1789455890.113,research-api-grafana-1,grafana,0.2,52.14
1789455890.113,research-api-postgres-1,postgres,20.0,80.67
1789455890.113,research-api-prometheus-1,prometheus,0.97,31.31
1789455890.113,research-api-cadvisor-1,cadvisor,0.0,18.8
1789455895.084,research-api-nginx-1,nginx,21.77,16.45
1789455895.084,research-api-orders-service-1,orders-service,29.49,14.95
1789455895.084,research-api-products-service-1,products-service,18.19,13.44
1789455895.084,research-api-inventory-service-1,inventory-service,4.48,9.473
1789455895.084,research-api-users-service-1,users-service,17.79,11.77
1789455895.084,research-api-grafana-1,grafana,0.05,52.14
1789455895.084,research-api-postgres-1,postgres,20.21,80.63
1789455895.084,research-api-prometheus-1,prometheus,0.0,31.45
1789455895.084,research-api-cadvisor-1,cadvisor,0.0,18.8
1789455900.112,research-api-nginx-1,nginx,18.57,15.23
1789455900.112,research-api-orders-service-1,orders-service,33.9,13.5
1789455900.112,research-api-products-service-1,products-service,16.74,11.87
1789455900.112,research-api-inventory-service-1,inventory-service,4.45,10.59
1789455900.112,research-api-users-service-1,users-service,14.21,10.32
1789455900.112,research-api-grafana-1,grafana,0.17,52.14
1789455900.112,research-api-postgres-1,postgres,21.21,82.51
1789455900.112,research-api-prometheus-1,prometheus,1.12,32.2
1789455900.112,research-api-cadvisor-1,cadvisor,0.0,18.82
1789455905.116,research-api-nginx-1,nginx,21.48,16.79
1789455905.116,research-api-orders-service-1,orders-service,29.7,13.76
1789455905.116,research-api-products-service-1,products-service,18.44,13.5
1789455905.116,research-api-inventory-service-1,inventory-service,4.3,9.629
1789455905.116,research-api-users-service-1,users-service,18.86,11.69
1789455905.116,research-api-grafana-1,grafana,0.09,52.16
1789455905.116,research-api-postgres-1,postgres,20.11,82.59
1789455905.116,research-api-prometheus-1,prometheus,0.0,32.19
1789455905.116,research-api-cadvisor-1,cadvisor,0.0,18.67
1789455910.093,research-api-nginx-1,nginx,23.4,15.7
1789455910.093,research-api-orders-service-1,orders-service,35.37,14.32
1789455910.093,research-api-products-service-1,products-service,19.68,12.84
1789455910.093,research-api-inventory-service-1,inventory-service,4.46,9.328
1789455910.093,research-api-users-service-1,users-service,18.34,12.43
1789455910.093,research-api-grafana-1,grafana,0.15,52.16
1789455910.093,research-api-postgres-1,postgres,21.65,82.46
1789455910.093,research-api-prometheus-1,prometheus,0.73,32.85
1789455910.093,research-api-cadvisor-1,cadvisor,0.0,18.67
1789455915.091,research-api-nginx-1,nginx,21.29,15.69
1789455915.091,research-api-orders-service-1,orders-service,28.7,13.58
1789455915.091,research-api-products-service-1,products-service,17.77,14.32
1789455915.091,research-api-inventory-service-1,inventory-service,3.88,9.734
1789455915.091,research-api-users-service-1,users-service,17.11,11.89
1789455915.091,research-api-grafana-1,grafana,0.05,52.21
1789455915.091,research-api-postgres-1,postgres,18.84,84.57
1789455915.091,research-api-prometheus-1,prometheus,0.0,32.95
1789455915.091,research-api-cadvisor-1,cadvisor,0.0,18.04
1789455920.107,research-api-nginx-1,nginx,28.02,16.55
1789455920.107,research-api-orders-service-1,orders-service,41.58,14.13
1789455920.107,research-api-products-service-1,products-service,23.91,12.83
1789455920.107,research-api-inventory-service-1,inventory-service,5.33,9.719
1789455920.107,research-api-users-service-1,users-service,21.3,11.47
