stage,descricao,run,load_level,endpoint,p50_ms,p90_ms,p95_ms,p99_ms,avg_ms,max_ms,throughput_req_s,total_requests,error_rate
Stage 01,Monolito completo,3,todos,list_orders,1.29,2.93,3.85,6.81,1.67,23.73,,,0
Stage 01,Monolito completo,3,high,list_products,0.89,2.09,2.77,4.91,1.16,22.89,,,0
Stage 01,Monolito completo,3,high,post_order,2.94,5.36,6.46,9.45,3.38,25.16,,,0
Stage 01,Monolito completo,3,medium,list_orders,1.39,3.57,5.01,9.42,1.92,23.73,,,0
Stage 01,Monolito completo,3,todos,list_products,0.94,2.31,3.1,5.82,1.26,23.82,,,0
Stage 01,Monolito completo,3,high,get_user,0.84,2.02,2.67,4.73,1.1,21.44,,,0
Stage 01b,Monolito atras do NGINX (controle),1,low,list_products,2.38,4.42,5.5,8.13,2.69,19.65,,,0
Stage 01b,Monolito atras do NGINX (controle),1,low,todos,2.66,6.17,7.66,11.11,3.28,31.51,,,
Stage 01b,Monolito atras do NGINX (controle),1,low,get_inventory,2.33,4.32,5.37,7.81,2.64,21.03,,,0
Stage 01b,Monolito atras do NGINX (controle),1,medium,get_product,1.32,10.78,56.14,88.97,6.99,125.57,,,0
Stage 01b,Monolito atras do NGINX (controle),1,high,post_order,67.31,257.05,282.59,338.47,117.63,572.92,,,0
Stage 01b,Monolito atras do NGINX (controle),1,todos,get_product,5.82,217.12,247.86,304.61,57.34,555.77,,,0
Stage 01b,Monolito atras do NGINX (controle),1,high,list_products,54.16,250.58,275.86,329.53,110.31,550.12,,,0
Stage 01b,Monolito atras do NGINX (controle),1,todos,todos,6.77,217.44,248.38,305.3,57.8,572.92,1526.1,1556741,0
Stage 01b,Monolito atras do NGINX (controle),1,low,post_order,6.01,9.76,11.32,14.79,6.38,31.51,,,0
Stage 01b,Monolito atras do NGINX (controle),1,high,get_product,56.16,251.27,276.43,331.61,111.02,555.77,,,0
Stage 01b,Monolito atras do NGINX (controle),1,todos,get_user,5.74,216.48,247.19,303.66,56.92,560.79,,,0
