stage,descricao,run,load_level,endpoint,p50_ms,p90_ms,p95_ms,p99_ms,avg_ms,max_ms,throughput_req_s,total_requests,error_rate
Stage 05b,Microsservicos com gateway pareado (controle),1,medium,get_product,1.9,4.29,5.53,9.48,2.44,59.84,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,low,todos,2.21,6.81,9.03,14.26,3.23,36.05,,,
Stage 05b,Microsservicos com gateway pareado (controle),1,medium,post_order,8.31,17.63,21.36,30.27,10.13,93.6,,,4.397
Stage 05b,Microsservicos com gateway pareado (controle),1,low,get_inventory,1.94,3.74,4.8,7.19,2.3,20.76,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,low,get_user,1.89,3.81,4.86,7.73,2.27,23.04,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,low,get_product,1.88,3.8,4.94,7.72,2.27,22.9,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,medium,get_inventory,1.94,4.24,5.52,9.57,2.49,59.13,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,medium,list_orders,2.52,5.72,7.48,12.53,3.25,67.34,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,low,post_order,7.19,12.74,15.03,20.26,8.05,36.05,,,4.397
Stage 05b,Microsservicos com gateway pareado (controle),1,high,list_products,13.88,47.19,66.1,110.46,21.34,348.65,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,high,todos,19.02,131.72,206.68,550.55,53.37,2173.02,,,
Stage 05b,Microsservicos com gateway pareado (controle),1,high,get_user,13.47,46.27,64.54,109.38,20.84,346.54,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,todos,post_order,36.63,249.13,391.52,880.06,103.31,2173.02,,,4.397
Stage 05b,Microsservicos com gateway pareado (controle),1,medium,todos,2.23,7.8,11.54,20.35,3.68,93.6,,,
Stage 05b,Microsservicos com gateway pareado (controle),1,todos,get_product,5.72,32.81,48.99,92.77,12.85,348.86,,,0
Stage 05b,Microsservicos com gateway pareado (controle),1,low,list_products,1.91,3.88,4.97,7.85,2.3,23.72,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,medium,get_inventory,1.95,4.14,5.34,8.79,2.44,50.66,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,low,todos,2.2,6.79,8.94,14.33,3.22,35.88,,,
Stage 05b,Microsservicos com gateway pareado (controle),2,todos,post_order,35.6,284.21,384.97,793.53,108.38,2022.9,,,2.794
Stage 05b,Microsservicos com gateway pareado (controle),2,low,get_product,1.87,3.8,4.92,7.95,2.27,35.88,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,medium,get_user,1.88,4.13,5.33,8.85,2.37,48.28,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,medium,todos,2.21,7.64,11.43,20.16,3.63,85.44,,,
Stage 05b,Microsservicos com gateway pareado (controle),2,medium,list_products,1.9,4.2,5.43,8.95,2.41,47.25,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,low,get_user,1.87,3.83,4.87,7.59,2.25,19.04,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,medium,post_order,8.23,17.86,21.41,29.54,10.13,85.44,,,2.794
Stage 05b,Microsservicos com gateway pareado (controle),2,todos,list_products,5.71,32.82,49.16,93.36,12.9,331.35,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,todos,get_product,5.64,32.9,49.06,92.97,12.84,299.47,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,low,list_orders,2.53,5.28,6.76,10.37,3.05,18.79,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,high,post_order,154.61,372.85,529.44,942.03,192.58,2022.9,,,2.794
Stage 05b,Microsservicos com gateway pareado (controle),2,high,list_products,14.12,47.6,65.68,112.13,21.62,331.35,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,high,get_user,13.76,46.94,65.09,110.44,21.24,332.06,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,low,get_inventory,1.94,3.74,4.75,7.43,2.29,15.21,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,high,get_product,14.21,47.65,65.19,111.24,21.61,299.47,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,low,list_products,1.9,3.87,4.98,7.85,2.29,28.95,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,todos,get_user,5.51,32.39,48.47,92.55,12.67,332.06,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,high,todos,19.43,162.73,247.41,547.7,57.92,2022.9,,,
Stage 05b,Microsservicos com gateway pareado (controle),2,todos,get_inventory,5.05,30.01,45.94,90.39,11.88,352.26,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,medium,get_product,1.89,4.17,5.38,8.75,2.39,48.34,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,low,post_order,7.12,12.76,15.2,20.07,8.01,34.52,,,2.794
Stage 05b,Microsservicos com gateway pareado (controle),2,high,list_orders,92.49,252.25,423.17,840.27,130.98,1699.67,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,todos,list_orders,14.23,189.98,258.5,667.83,70.85,1699.67,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,high,get_inventory,12.36,44.26,63.07,109.03,19.81,352.26,,,0
Stage 05b,Microsservicos com gateway pareado (controle),2,todos,todos,7.4,75.49,169.9,395.67,32.85,2022.9,1807.5,1843856,0.42
Stage 05b,Microsservicos com gateway pareado (controle),2,medium,list_orders,2.49,5.61,7.19,11.81,3.17,57.13,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,medium,get_user,1.84,4.05,5.23,8.77,2.35,108.83,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,medium,list_products,1.86,4.07,5.29,8.91,2.37,112.61,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,todos,get_product,5.54,31.28,47.46,91.76,12.45,293.4,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,low,get_inventory,1.93,3.73,4.69,7.54,2.29,20.63,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,todos,get_inventory,4.92,28.6,44.73,89.77,11.52,295.97,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,high,post_order,125.27,376.55,598.34,1034.35,180.27,2199.26,,,4.578
Stage 05b,Microsservicos com gateway pareado (controle),3,low,list_orders,2.57,5.12,6.45,10.14,3.04,29.34,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,high,list_orders,68.2,198.29,323.48,622.07,101.0,1746.79,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,low,get_user,1.88,3.86,4.87,7.92,2.27,29.59,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,high,get_user,12.95,44.41,62.64,110.93,20.22,300.81,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,medium,list_orders,2.45,5.45,7.04,11.6,3.13,122.76,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,low,list_products,1.91,3.87,4.98,8.02,2.3,23.09,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,high,get_inventory,11.56,42.52,60.24,109.12,18.84,295.97,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,high,todos,18.23,130.4,200.56,561.34,52.34,2199.26,,,
Stage 05b,Microsservicos com gateway pareado (controle),3,todos,todos,7.25,69.76,136.9,381.73,30.17,2199.26,1844.6,1881842,0.686
Stage 05b,Microsservicos com gateway pareado (controle),3,medium,post_order,8.08,16.84,20.6,30.19,9.88,173.61,,,4.578
Stage 05b,Microsservicos com gateway pareado (controle),3,medium,get_product,1.84,4.07,5.25,8.91,2.35,87.78,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,high,get_product,13.22,45.19,62.85,110.03,20.51,293.4,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,low,get_product,1.87,3.85,4.92,7.92,2.27,20.44,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,todos,list_products,5.6,31.52,47.54,91.64,12.53,302.84,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,medium,get_inventory,1.89,3.97,5.12,8.58,2.37,91.1,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,high,list_products,13.28,45.21,63.4,109.81,20.56,302.84,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,todos,list_orders,14.5,145.85,203.96,517.21,55.65,1746.79,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,todos,get_user,5.44,30.92,46.77,91.67,12.31,300.81,,,0
Stage 05b,Microsservicos com gateway pareado (controle),3,todos,post_order,36.67,242.86,401.16,878.17,102.52,2199.26,,,4.578
Stage 05b,Microsservicos com gateway pareado (controle),3,medium,todos,2.15,7.48,11.0,19.53,3.56,173.61,,,
Stage 05b,Microsservicos com gateway pareado (controle),3,low,todos,2.2,6.78,8.99,14.22,3.22,42.8,,,
Stage 05b,Microsservicos com gateway pareado (controle),3,low,post_order,7.12,12.66,14.96,20.23,8.0,42.8,,,4.578
