stage,descricao,run,metric,unit,target,load_level,samples,mean,p95,max
Stage 01,Monolito completo,2,goroutines,goroutines,prometheus,high,30,36.267,37.0,37.0
Stage 01,Monolito completo,2,heap_alloc_mb,MB,monolith,low,30,3.908,4.481,4.581
Stage 01,Monolito completo,2,heap_alloc_mb,MB,monolith,medium,30,6.206,7.365,7.763
Stage 01,Monolito completo,2,heap_alloc_mb,MB,monolith,high,30,10.194,12.232,12.426
Stage 01,Monolito completo,2,heap_alloc_mb,MB,cadvisor,low,30,6.388,7.998,8.251
Stage 01,Monolito completo,2,heap_alloc_mb,MB,cadvisor,medium,30,6.473,7.571,8.944
Stage 01,Monolito completo,2,heap_alloc_mb,MB,cadvisor,high,30,6.682,8.282,9.01
Stage 01,Monolito completo,2,heap_alloc_mb,MB,prometheus,low,30,26.122,31.067,31.678
Stage 01,Monolito completo,2,heap_alloc_mb,MB,prometheus,medium,30,26.259,29.584,30.013
Stage 01,Monolito completo,2,heap_alloc_mb,MB,prometheus,high,30,26.466,28.648,29.022
Stage 01,Monolito completo,2,gc_pause_ms,ms,monolith,low,30,0.47,0.577,0.581
Stage 01,Monolito completo,2,gc_pause_ms,ms,monolith,medium,30,0.436,0.512,0.514
Stage 01,Monolito completo,2,gc_pause_ms,ms,monolith,high,30,0.402,0.44,0.466
Stage 01,Monolito completo,2,gc_pause_ms,ms,cadvisor,low,30,0.192,0.27,0.289
Stage 01,Monolito completo,2,gc_pause_ms,ms,cadvisor,medium,30,0.141,0.241,0.254
Stage 01,Monolito completo,2,gc_pause_ms,ms,cadvisor,high,30,0.136,0.161,0.161
Stage 01,Monolito completo,2,gc_pause_ms,ms,prometheus,low,30,0.06,0.189,0.189
Stage 01,Monolito completo,2,gc_pause_ms,ms,prometheus,medium,30,0.031,0.104,0.104
Stage 01,Monolito completo,2,gc_pause_ms,ms,prometheus,high,30,0.038,0.098,0.098
Stage 01,Monolito completo,2,pool_acquired_conns,conexoes,monolith,low,30,0.0,0.0,0.0
Stage 01,Monolito completo,2,pool_acquired_conns,conexoes,monolith,medium,30,1.567,6.55,7.0
Stage 01,Monolito completo,2,pool_acquired_conns,conexoes,monolith,high,30,2.167,6.0,10.0
Stage 01,Monolito completo,2,pool_idle_conns,conexoes,monolith,low,30,13.767,14.0,14.0
Stage 01,Monolito completo,2,pool_idle_conns,conexoes,monolith,medium,30,12.433,14.0,14.0
Stage 01,Monolito completo,2,pool_idle_conns,conexoes,monolith,high,30,11.833,14.0,14.0
Stage 01,Monolito completo,2,pool_total_conns,conexoes,monolith,low,30,13.767,14.0,14.0
